id,username,email
1,bob,bob@burgers.com
2,jay blizerian,pillowman@hotmale.com
3,mojo jojo,mojo@jojo.net
4,homer simpson,homer@springfield.org
5,patrick star,pat@bikinibottom.net
6,morty smith,morty@morty@com
7,bender,bender@futurama.com
8,hank hill,propanelover@hotmale.com
9,Bob the Sponge,sponge@bob.net
10,Penny Proud,penny@proudfam.org
11,Arthur Aardvark,arthur@booky.com
12,Dee Dee,dd@dexterlab.com
13,Mr Universe,uni@vers.com
14,Finn,Finn@aventureT.com
15,Chuckie,chuki@rugrats.org
16,Aang,aang@avatar.com
17,Naruto,Naruto@naruto.com
